Region_Area_State,Year,Wind_speed,Rainfall_actual,Rainfall_normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,MSW,Atmosheric_Microplastics,Beach_Plastics,Summer,Spring,Winter,Covid_19,Plastic_Production
Uttarakhand,2017,14.9,1199,1229.1,3631000,7296000,0.05,0.00,401135,8673.759,,19.88,14.87,9.9,,0
West Bengal,2017,22.9,3172.8,3174.1,33030000,62861000,15.57,1.85,4427179,76117.457,1327.77,30.92,25.82,20.77,,298341.3656
Andaman and Nicobar Islands,2016,31.7,1562.6,1682.5,159000,233000,0.00,0.39,41975,380.833,,31.33,27.69,24.1,,365
Andhra Pradesh,2016,31,1055.1,979.4,16740000,34726000,21.86,5.80,2361550,23591.740,7601.21,33.68,28.23,22.83,,82863
Arunachal Pradesh,2016,8.3,1699.1,1768,353000,1110000,0.04,0.00,5913,1421.324,,24.27,18.99,13.76,,2641.5547
Assam,2016,8.9,1249,1792.8,4911000,28382000,3.07,0.00,2960150,32344.594,,28.25,23.58,18.97,,24030
Bihar,2016,23.3,994.1,1027.6,13476000,101294000,5.09,0.00,1090651,111500.587,,31.74,25.81,19.92,,2280
Chandigarh,2016,16.3,338.3,466.30,1129000,12000,0.00,0.00,164250,1108.497,,30.98,24.83,18.69,,21516.75
Chhattisgarh,2016,19.6,1176,1153.3,6920000,20780000,3.77,0.00,2190000,26910.920,,32.48,26.46,20.48,,7300
Dadra and Nagar Haveli and Daman and Diu,2016,18.8,1111.5,1392.2,522000,234000,0.01,0.23,31631,734.464,624.265,,,,,2304.676
Delhi,2016,16.9,338.3,466.30,18553000,250000,0.01,0.00,3701229,142891.130,,32.71,26.45,20.25,,232732
Goa,2016,19,3549.8,2914.70,1037000,478000,0.04,1.14,82782,1471.843,624.265,31.64,27.25,22.9,,25594.9578
Gujarat,2016,21.1,1111.5,1392.2,29709000,35758000,1.17,6.99,3517424,7812.650,9480.35,34.15,27.61,21.13,,271092
Haryana,2016,17.7,338.3,466.30,10522000,17068000,1.44,0.00,1647610,177173.760,,32.63,26.17,19.76,,23369.09
Himachal Pradesh,2016,14.8,624.5,825.3,728000,6446000,0.13,0.00,124958,6969.637,,16.3,11.18,6.09,,255
Jammu and Kashmir,2016,9.2,481.8,534.6,3729000,9202000,0.20,0.00,695460,12562.639,,,,,,73096.5681
Jharkhand,2016,18.3,1096.9,1091.9,8999000,26979000,1.45,0.00,692894,34953.107,,31.24,25.31,19.44,,41483.6937
Karnataka,2016,25.4,3479,4249.8,26548000,37855000,1.59,3.99,4082890,51667.420,2183.87,31.94,26.51,21.12,,419600
Kerala,2016,27.2,1352.2,2039.6,20909000,13730000,1.61,4.31,1221126,33652.251,4448.15,31.15,27.06,23.03,,129357.2614
Lakshadweep,2016,34.1,745.5,998.5,60000,7000,0.00,0.30,12775,65.091,,31.47,28.41,25.42,,45.3235
Madhya Pradesh,2016,21.5,2289.4,1927.3,22372000,56815000,1.39,0.00,2472145,76931.227,,32.88,26.29,19.75,,50457.07
Maharashtra,2016,19.5,6238.7,5281.5,55630000,63477000,2.00,4.63,8559126,48120.050,5091.46,33.63,27.2,20.83,,21420.33
Manipur,2016,10.8,1244,1496.9,926000,2093000,0.32,0.00,40521,2932.999,,24.44,19.94,15.49,,8047.7553
Meghalaya,2016,8.8,1249,1792.8,639000,2498000,0.12,0.00,68255,3047.637,,26.25,22.05,17.9,,13.265
Mizoram,2016,9,1244,1496.9,620000,540000,0.08,0.00,58356,1126.955,,26.12,21.73,17.39,,7677.3556
Nagaland,2016,7.8,1244,1496.9,759000,1333000,0.09,0.00,123005,2032.406,,24.14,19.49,14.89,,548.4825
Odisha,2016,25.4,1030.8,1149.9,7772000,36309000,4.55,1.53,6771,42825.280,3720.19,31.71,26.35,21.04,,6890.805
Puducherry,2016,25.9,258.1,317.2,978000,435000,0.04,0.46,145453,1372.748,237.009,32.99,29,25.07,,9252.25
Punjab,2016,16.3,352,491.9,11517000,17703000,1.33,0.00,1658688,28387.620,,32.1,25.59,19.13,,163423.4
Rajasthan,2016,22.3,1128.5,879,19135000,55441000,0.50,0.00,2359614,72451.579,,33.87,26.8,19.77,,49940.2896
Sikkim,2016,16.9,1996.2,2006.2,229000,417000,0.00,0.00,27755,627.598,,11.08,5.08,-0.89,,102.7
Tamil Nadu,2016,25.6,258.1,317.2,37926000,36827000,1.97,4.72,5350353,18621.060,7076.41,32.69,28.15,23.66,,79114.792
Telangana,2016,27.5,899.8,755.2,15612000,20913000,1.99,0.00,2986716,36532.700,,,,,,228904.5644
Tripura,2016,23.5,1244,1496.9,1238000,2646000,0.72,0.00,156253,3773.358,,29.67,24.94,20.25,,30
Uttar Pradesh,2016,21.8,1430.4,1667,50063000,167012000,6.18,0.00,5657500,42794.040,,33.07,26.56,20.09,,152492.6445
Uttarakhand,2016,15.4,1104.2,1229.1,3537000,7261000,0.04,0.00,430700,10490.401,,20.51,15.26,10.05,,24333.1539
West Bengal,2016,23.5,3159.1,3174.1,32431000,62851000,15.25,1.77,5110000,92567.735,1227.37,31.24,26.07,20.95,,294587.3868
Andaman and Nicobar Islands,2015,33.1,1678.5,1682.5,156000,234000,0.00,0.37,34856,261.510,,31.3,27.65,24.04,,379.2211
Andhra Pradesh,2015,32.8,1000.3,979.4,16335000,34797000,18.32,5.20,2350600,34286.027,8696.41,33.5,28.05,22.65,,128480
Arunachal Pradesh,2015,6.9,1875,1768,346000,1102000,0.04,0.00,4745,970.941,,,,,,14.5
Assam,2015,7.9,1747.7,1792.8,4814000,28092000,2.94,0.00,2890800,22064.774,,,,,,24010
Bihar,2015,25.3,742.3,1027.6,13156000,99676000,5.07,0.00,1072234,75658.316,,31.26,25.3,19.39,,38857.2163
Chandigarh,2015,15.7,295.5,466.3,1110000,15000,0.00,0.00,135050,754.357,,29.64,23.78,17.95,,8383
Chhattisgarh,2015,21.8,1009.8,1147.3,6732000,20569000,3.42,0.00,819516,18306.400,,32.19,26.16,20.19,,31084.079
Dadra and Nagar Haveli and Daman and Diu,2015,20.2,1161.9,1403.5,570000,232000,0.00,0.23,33556,537.773,714.21,,,,,2444.9076
Delhi,2015,19.9,295.5,466.3,18145000,280000,0.01,0.00,3511300,125166.120,,31.62,25.51,19.46,,213010.1868
Goa,2015,18.3,2005,2914.3,1012000,493000,0.05,1.07,71770,1009.162,714.21,31.72,27.33,22.99,,106
Gujarat,2015,28.2,1161.9,1403.5,28952000,35577000,1.12,6.97,3467027,22114.250,10846.3,34.16,27.62,21.14,,269294.88
Haryana,2015,17.8,295.5,466.3,10200000,16975000,1.21,0.00,1765633,125166.120,,31.55,25.24,18.99,,139364.4409
Himachal Pradesh,2015,14.7,638.3,825.3,721000,6398000,0.12,0.00,126292,4773.571,,15.01,10.17,5.35,,13316.3741
Jammu and Kashmir,2015,9,614,534.6,3662000,9151000,0.20,0.00,1303050,8591.623,,,,,,6243.2
Jharkhand,2015,20.8,941.9,1091.9,8798000,26627000,1.16,0.00,596593,23753.863,,30.78,24.85,18.98,,35853.52
Karnataka,2015,24.6,3249.7,4249.8,26000000,37811000,1.69,4.12,3227330,11582.370,2498.52,31.89,26.46,21.07,,129600
Kerala,2015,24.1,1514.7,2039.6,19969000,14453000,2.11,5.17,1213476,23081.312,5089.05,30.82,26.74,22.71,,128546.8879
Lakshadweep,2015,29.8,860.9,998.5,59000,7000,0.00,0.16,12584,44.256,,31.03,27.98,24.98,,44.647
Madhya Pradesh,2015,26.4,1659.6,1927.3,21943000,56039000,1.15,0.00,2437470,52290.014,,32.56,25.96,19.42,,30884.47
Maharashtra,2015,22.6,3753.7,5281.1,54731000,63149000,1.46,4.34,7981554,18223.230,5825.05,33.64,27.21,20.84,,469098
Manipur,2015,8.1,1050.3,1496.9,909000,2079000,0.32,0.00,40105,2003.572,,24.15,19.53,14.96,,30
Meghalaya,2015,8.4,1747.7,1792.8,630000,2475000,0.11,0.00,68255,2082.025,,25.87,21.55,17.28,,13.94
Mizoram,2015,7,1050.3,1496.9,611000,537000,0.07,0.00,71819,769.779,,25.69,21.23,16.81,,6396
Nagaland,2015,6,1050.3,1496.9,722000,1348000,0.08,0.00,102017,1388.017,,23.93,19.16,14.44,,542.7146
Odisha,2015,26.2,1034.4,1149.9,7627000,36073000,3.77,1.45,939766,29302.578,4256.21,31.4,26.03,20.71,,27859.17
Puducherry,2015,28.2,285.8,317.2,954000,427000,0.07,0.47,147727,926.015,271.158,32.67,28.68,24.75,,10713.4607
