States,Year,Natural_Calamities,Wind_speed,Rainfall_Actual,Rainfall_Normal,Population_Urban,Population_Rural,Fishing_Inland,Fishing_Marine,Harbour_Plastic,MSW,Beach_plastics,Climate_change,Plastic_entering_sea
,,Number,kmph,mm,mm,Persons,Persons,Lakh Tonnes,Lakh Tonnes,TPA,TPA,Kg,,TPA
Andaman and Nicobar Islands,2015,0,33.4,1678.5,1682.5,156000,234000,0.00,0.37,0.00,34856,0,0,363.90
Andhra Pradesh,2015,0,31.35,1000.3,979.4,16335000,34797000,18.32,5.20,57.73,2350600,8696.41,0,24540.26
Arunachal Pradesh,2015,0,7,1875,1768,346000,1102000,0.04,0.00,0.00,4745,0,0,49.54
Assam,2015,1,7.8,1747.7,1792.8,4814000,28092000,2.94,0.00,0.00,2890800,0,0,30179.95
Bihar,2015,0,24.3,742.3,1027.6,13156000,99676000,5.07,0.00,0.00,1072234,0,0,11194.12
Chandigarh,2015,0,15.7,295.5,466.3,1110000,15000,0.00,0.00,0.00,135050,0,0,1409.92
Chhattisgarh,2015,0,17.9,1009.8,1147.3,6732000,20569000,3.42,0.00,0.00,819516,0,0,8555.75
Dadra and Nagar Haveli and Daman and Diu,2015,0,20.2,1161.9,1403.5,570000,232000,0.00,0.23,0.00,33556,714.21,0,350.33
Delhi,2015,0,19.9,295.5,466.3,18145000,280000,0.01,0.00,0.00,3511300,0,0,36657.97
Goa,2015,0,18.3,2005,2914.3,1012000,493000,0.05,1.07,0.93,71770,714.21,0,749.28
Gujarat,2015,1,29.3,1161.9,1403.5,28952000,35577000,1.12,6.97,186.45,3467027,10846.3,0,36195.76
Haryana,2015,0,17.8,295.5,466.3,10200000,16975000,1.21,0.00,0.00,1765633,0,0,18433.21
Himachal Pradesh,2015,0,14.7,638.3,825.3,721000,6398000,0.12,0.00,0.00,126292,0,1,1318.49
Jammu and Kashmir,2015,1,11.55,614,534.6,3662000,9151000,0.20,0.00,0.00,1303050,0,0,13603.84
Jharkhand,2015,0,21.7,941.9,1091.9,8798000,26627000,1.16,0.00,0.00,596593,0,0,6228.43
Karnataka,2015,0,28.35,3249.7,4249.8,26000000,37811000,1.69,4.12,20.74,3227330,2498.52,0,33693.33
Kerala,2015,0,22.55,1514.7,2039.6,19969000,14453000,2.11,5.17,46.33,1213476,5089.05,0,12668.69
Lakshadweep,2015,0,29.8,860.9,998.5,59000,7000,0.00,0.16,0.00,12584,0,0,131.38
Madhya Pradesh,2015,1,26.35,1659.6,1927.3,21943000,56039000,1.15,0.00,0.00,2437470,0,0,25447.19
Maharashtra,2015,1,23.35,3753.7,5281.1,54731000,63149000,1.46,4.34,567.64,7981554,5825.05,0,83327.42
Manipur,2015,1,8.1,1050.3,1496.9,909000,2079000,0.32,0.00,0.00,40105,0,0,418.70
Meghalaya,2015,0,11,1747.7,1792.8,630000,2475000,0.11,0.00,0.00,68255,0,0,712.58
Mizoram,2015,0,7,1050.3,1496.9,611000,537000,0.07,0.00,0.00,71819,0,0,749.79
Nagaland,2015,0,6,1050.3,1496.9,722000,1348000,0.08,0.00,0.00,102017,0,0,1065.06
Odisha,2015,1,21.15,1034.4,1149.9,7627000,36073000,3.77,1.45,15.09,939766,4256.21,0,9811.15
Puducherry,2015,0,29.8,285.8,317.2,954000,427000,0.07,0.47,0.00,147727,271.158,0,1542.27
Punjab,2015,0,16.5,336.3,491.9,11307000,17647000,1.20,0.00,0.00,1626513,0,0,16980.80
Rajasthan,2015,1,26.6,940.6,879,18748000,54733000,0.42,0.00,0.00,2324968,0,0,24272.67
Sikkim,2015,0,14.7,1883,2006.2,214000,425000,0.00,0.00,0.00,26205,0,1,273.58
Tamil Nadu,2015,1,24.85,285.8,317.2,37372000,36931000,2.43,4.67,153.40,83950,8095.99,0,876.44
Telangana,2015,0,28.6,600.8,755.2,15231000,21012000,2.37,0.00,0.00,2419220,0,0,25256.66
